index,sfdc_tier,poc_image,segment,sub_segment,Brand,Pack_Type,GTO_Tax,Volume_2019 Product,province,price,returnability,norm,Discount_Total,label
2,1.0,1.0,0.0,9.0,13.0,1.0,11.027622353235225,5.474662768313607,0.0,258.0,0.0,13.114877048604,9.582693961078244,2
3,1.0,1.0,0.0,9.0,13.0,0.0,8.699681400989514,3.0155349008501706,0.0,294.17,1.0,13.114877048604,7.380997408620055,0
4,1.0,1.0,0.0,9.0,13.0,3.0,8.023342671856208,2.4849066497880004,0.0,254.28,1.0,13.45362404707371,6.576915152212553,3
7,2.0,1.0,3.0,5.0,17.0,0.0,7.7087024971450635,2.428336298299606,8.0,196.44,1.0,17.435595774162696,6.531067114145378,0
8,2.0,1.0,3.0,5.0,17.0,0.0,8.135109592875944,2.854744580253014,8.0,196.44,1.0,17.435595774162696,6.9574783412001695,0
9,2.0,1.0,3.0,5.0,13.0,0.0,3.035914063186823,-2.8134107167600364,0.0,347.0,1.0,13.564659966250536,1.8164520818184267,0
10,2.0,1.0,3.0,5.0,13.0,0.0,4.662495252607361,-1.0216512475319814,0.0,294.17,1.0,13.564659966250536,3.367985247456042,0
12,2.0,1.0,1.0,3.0,17.0,0.0,2.8724340572094973,-2.407945608651872,6.0,196.44,1.0,17.204650534085253,0.5423242908253617,0
13,2.0,1.0,1.0,3.0,7.0,3.0,6.845454252784758,1.33500106673234,6.0,247.26,1.0,8.06225774829855,4.440413460373609,0
15,1.0,1.0,3.0,5.0,2.0,0.0,4.689511334421843,-1.4271163556401458,4.0,453.33,1.0,4.0,2.329227023940467,2
16,1.0,1.0,3.0,5.0,11.0,0.0,3.7367167835280966,-2.120263536200091,4.0,349.67,1.0,11.532562594670797,1.3711807233098425,0
17,1.0,1.0,3.0,5.0,11.0,0.0,2.89977188240808,-2.8134107167600364,4.0,302.83,1.0,11.532562594670797,0.5068176023684519,0
