index,sfdc_tier,poc_image,segment,sub_segment,Brand,Pack_Type,GTO_2019,Volume_2019 Product,province,price,returnability,norm,OnInvoice Discount(LCU),label
2,1.0,1,0,9,13,1,11.027622353235225,5.474662768313607,0,258.0,0,13.114877048604,9.582693961078244,2
3,1.0,1,0,9,13,0,8.699681400989514,3.0155349008501706,0,294.17,1,13.114877048604,7.2620604171479854,1
4,1.0,1,0,9,13,3,8.023342671856208,2.4849066497880004,0,254.28,1,13.45362404707371,6.576915152212553,1
9,2.0,1,3,5,13,0,3.035914063186823,-2.8134107167600364,0,347.0,1,13.564659966250536,1.8164520818184267,0
10,2.0,1,3,5,13,0,4.662495252607361,-1.0216512475319814,0,294.17,1,13.564659966250536,3.367985247456042,0
12,2.0,1,1,3,17,0,2.8724340572094973,-2.407945608651872,6,196.44,1,17.204650534085253,0.5423242908253617,0
13,2.0,1,1,3,7,3,6.845454252784758,1.33500106673234,6,247.26,1,8.06225774829855,4.440413460373609,0
15,1.0,1,3,5,2,0,4.689511334421843,-1.4271163556401458,4,453.33,1,4.0,2.329227023940467,2
16,1.0,1,3,5,11,0,3.7367167835280966,-2.120263536200091,4,349.67,1,11.532562594670797,1.3711807233098425,0
17,1.0,1,3,5,11,0,2.89977188240808,-2.8134107167600364,4,302.83,1,11.532562594670797,0.5068176023684519,0
18,1.0,1,3,5,13,0,3.7290612437467683,-2.120263536200091,4,347.0,1,13.45362404707371,1.410986973710262,0
19,1.0,1,3,5,16,0,4.8118590992303405,-1.1488535051048565,4,387.89,1,16.3707055437449,2.419478844465545,0
20,1.0,1,3,5,16,0,4.8118590992303405,-1.1488535051048565,4,387.89,1,16.3707055437449,2.419478844465545,0
21,1.0,1,3,5,22,0,5.980201354829271,-0.05024121643674679,4,415.9,1,22.271057451320086,3.573468602602609,0
22,1.0,1,3,5,2,3,5.50117657455954,-0.5108256237659905,4,408.3,1,5.0,3.1376657694426577,2
23,1.0,1,3,5,11,3,5.392763536839982,-0.5108256237659905,4,366.35,1,11.916375287812984,3.0339909856710814,0
24,1.0,1,3,5,11,3,4.121473229610353,-1.6094379124341003,4,308.25,1,11.916375287812984,1.7387102481382397,0
25,1.0,1,3,5,13,3,7.215092909092359,1.667706820558076,4,256.57,1,13.784048752090222,4.625854777180924,1
26,1.0,1,3,5,16,3,5.041617031704984,-0.916290731874155,4,386.8,1,16.64331697709324,2.6525374911719513,0
36,2.0,1,0,0,13,3,8.428807779964373,2.8903717578961645,0,254.28,1,13.564659966250536,6.250052459355387,1
63,1.0,1,3,5,13,0,5.115355604866659,-0.7339691750802004,3,347.0,1,13.45362404707371,3.714547200862514,0
64,1.0,1,3,5,21,0,7.406346365079785,1.7509374747078,3,285.83,1,21.283796653792763,5.2337255106548595,0
66,2.0,1,3,5,11,0,3.9341758100692794,-1.7147984280919266,10,284.0,1,11.661903789690601,2.3850863145057892,0
67,2.0,1,3,5,11,0,4.421487703554795,-1.0216512475319814,10,231.17,1,11.661903789690601,3.067122269640664,0
68,2.0,1,3,5,13,0,4.826231571097977,-0.616186139423817,10,231.0,1,13.564659966250536,3.456632088550256,0
69,2.0,1,3,5,13,0,6.643776712229567,1.3454723665996355,10,200.0,1,13.564659966250536,5.450007879788469,1
70,2.0,1,3,5,16,0,6.251672642559008,0.5971867894140341,10,285.57,1,16.46207763315433,5.003543540282499,1
71,2.0,1,3,5,16,0,4.502472787749749,-1.152013065395225,10,285.57,1,16.46207763315433,3.298795448044074,0
72,2.0,1,3,5,16,0,4.672361435528415,-0.9288695140810151,10,270.76,1,16.46207763315433,3.5743099993708003,0
